=============================================
P(G):
=============================================
2 0.028005
3 0.002218
4 0.011513
5 0.024799
8 0.011170
9 0.003911
10 0.047018
12 0.285939
13 0.000484
14 0.003528
15 0.188959
17 0.056514
20 0.008529
21 0.071616
38 0.213880
1235 0.041917


=============================================
P(chroma_stft_mean_01 | G):
=============================================
2 0 0.015119
2 1 0.025918
2 2 0.025198
2 3 0.012239
2 4 0.020878
2 5 0.026638
2 6 0.022318
2 7 0.018719
2 8 0.018719
2 9 0.016559
2 10 0.010079
2 11 0.017279
2 12 0.014399
2 13 0.017999
2 14 0.015839
2 15 0.015119
2 16 0.013679
2 17 0.017999
2 18 0.013679
2 19 0.017999
2 20 0.015119
2 21 0.009359
2 22 0.009359
2 23 0.012239
2 24 0.011519
2 25 0.013679
2 26 0.009359
2 27 0.015839
2 28 0.012239
2 29 0.010799
2 30 0.015119
2 31 0.008639
2 32 0.007199
2 33 0.005760
2 34 0.012959
2 35 0.013679
2 36 0.007199
2 37 0.015839
2 38 0.010079
2 39 0.008639
2 40 0.009359
2 41 0.007199
2 42 0.012959
2 43 0.008639
2 44 0.007919
2 45 0.010799
2 46 0.007199
2 47 0.006479
2 48 0.010799
2 49 0.008639
2 50 0.012239
2 51 0.005040
2 52 0.010079
2 53 0.007199
2 54 0.010799
2 55 0.010079
2 56 0.008639
2 57 0.009359
2 58 0.005040
2 59 0.005040
2 60 0.002880
2 61 0.010079
2 62 0.007199
2 63 0.006479
2 64 0.010079
2 65 0.005760
2 66 0.005040
2 67 0.013679
2 68 0.007199
2 69 0.010079
2 70 0.005040
2 71 0.003600
2 72 0.006479
2 73 0.009359
2 74 0.007199
2 75 0.008639
2 76 0.006479
2 77 0.004320
2 78 0.006479
2 79 0.007199
2 80 0.005040
2 81 0.007919
2 82 0.005040
2 83 0.010079
2 84 0.007919
2 85 0.002160
2 86 0.006479
2 87 0.005040
2 88 0.001440
2 89 0.012239
2 90 0.002880
2 91 0.005040
2 92 0.004320
2 93 0.004320
2 94 0.006479
2 95 0.004320
2 96 0.002880
2 97 0.002160
2 98 0.005040
2 99 0.001440
3 0 0.000000
3 1 0.000000
3 2 0.009091
3 3 0.000000
3 4 0.009091
3 5 0.009091
3 6 0.009091
3 7 0.000000
3 8 0.009091
3 9 0.045455
3 10 0.027273
3 11 0.000000
3 12 0.018182
3 13 0.036364
3 14 0.018182
3 15 0.045455
3 16 0.009091
3 17 0.000000
3 18 0.027273
3 19 0.036364
3 20 0.009091
3 21 0.000000
3 22 0.018182
3 23 0.036364
3 24 0.018182
3 25 0.018182
3 26 0.009091
3 27 0.018182
3 28 0.009091
3 29 0.009091
3 30 0.018182
3 31 0.009091
3 32 0.027273
3 33 0.009091
3 34 0.009091
3 35 0.000000
3 36 0.018182
3 37 0.009091
